,name,company,year,Price,kms_driven,fuel_type
129,Ford EcoSport Trend,Ford,2016,30710,24330,Diesel
130,Hyundai i20 Asta,Hyundai,2009,7770,65480,Petrol
131,Maruti Suzuki Swift,Maruti,2013,12580,41000,Petrol
132,Tata Indica V2,Tata,2006,3330,20000,Petrol
133,Hindustan Motors Ambassador,Hindustan,2000,2590,200000,Diesel
134,Toyota Corolla Altis,Toyota,2010,10729,70000,Petrol
135,Toyota Corolla Altis,Toyota,2012,12949,59000,Petrol
136,Toyota Innova 2.5,Toyota,2012,31449,99000,Diesel
137,Volkswagen Jetta Highline,Volkswagen,2014,27749,46000,Diesel
138,Volkswagen Polo Comfortline,Volkswagen,2015,14799,2800,Petrol
139,Volkswagen Polo,Volkswagen,2014,10174,32000,Petrol
140,Mahindra Scorpio,Mahindra,2015,36444,22000,Diesel
141,Renault Duster,Renault,2014,16649,50000,Diesel
142,Honda Amaze,Honda,2015,12764,22000,Petrol
143,Nissan Sunny,Nissan,2012,8324,45000,Petrol
144,Hyundai Elite i20,Hyundai,2018,22199,21000,Petrol
145,Renault Kwid,Renault,2016,9064,11000,Petrol
146,Renault Duster,Renault,2013,14799,41000,Diesel
147,Ford EcoSport,Ford,2017,18129,39000,Petrol
148,Renault Duster,Renault,2014,17574,50000,Diesel
149,Mahindra Scorpio VLX,Mahindra,2011,18499,66000,Diesel
150,Maruti Suzuki Alto,Maruti,2018,11470,3000,Petrol
151,Chevrolet Spark LT,Chevrolet,2010,3145,45000,Petrol
152,Datsun Redi GO,Datsun,2016,9065,7000,Petrol
153,Maruti Suzuki Swift,Maruti,2010,7011,38500,Diesel
154,Fiat Punto Emotion,Fiat,2012,6271,37200,Diesel
155,Maruti Suzuki Swift,Maruti,2010,5901,43200,Diesel
156,Toyota Etios GD,Toyota,2013,10175,24800,Petrol
157,Hyundai i20 Sportz,Hyundai,2014,13690,60000,Diesel
158,Hyundai i10 Sportz,Hyundai,2010,6216,45872,Petrol
159,Chevrolet Beat LT,Chevrolet,2011,5550,40000,Diesel
160,Chevrolet Beat LS,Chevrolet,2011,5365,45000,Diesel
161,Chevrolet Beat LT,Chevrolet,2012,3644,38000,Diesel
162,Mahindra Scorpio VLX,Mahindra,2014,25863,50000,Diesel
163,Tata Indigo CS,Tata,2011,3145,11400,Diesel
164,Toyota Corolla Altis,Toyota,2015,21275,42000,Petrol
165,Honda City 1.5,Honda,2014,20313,39000,Petrol
166,Maruti Suzuki Swift,Maruti,2011,7733,47000,Diesel
167,Hyundai Eon Era,Hyundai,2013,6845,27000,Petrol
168,Mahindra Scorpio S10,Mahindra,2015,33300,97200,Diesel
169,Mahindra XUV500,Mahindra,2014,25899,52000,Diesel
170,Honda Brio,Honda,2012,8324,30000,Petrol
171,Ford Fiesta,Ford,2011,10174,55000,Diesel
172,Honda Amaze,Honda,2013,10544,46000,Diesel
173,Honda City,Honda,2015,22199,30000,Diesel
174,Maruti Suzuki Wagon,Maruti,2012,7399,44000,Petrol
175,Honda City,Honda,2014,20164,45000,Diesel
176,Hyundai i20,Hyundai,2009,7363,31000,Petrol
177,Tata Indigo eCS,Tata,2016,11840,175430,Diesel
178,Hyundai Fluidic Verna,Hyundai,2015,19980,38000,Diesel
179,Mahindra Quanto C8,Mahindra,2013,12580,37000,Diesel
180,Fiat Petra ELX,Fiat,2008,2775,65000,Petrol
181,Skoda Fabia 1.2L,Skoda,2011,5901,38200,Diesel
182,Mini Cooper S,Mini,2013,69971,13000,Petrol
183,Hyundai Santro Xing,Hyundai,2005,1813,7500,Petrol
184,Maruti Suzuki Ciaz,Maruti,2016,25900,3350,Petrol
185,Maruti Suzuki Zen,Maruti,2000,2035,60000,Petrol
186,Honda City,Honda,2015,16612,54000,Petrol
187,Hyundai Creta 1.6,Hyundai,2017,33115,32000,Petrol
188,Mahindra Scorpio SLX,Mahindra,2007,13135,75000,Diesel
189,Mahindra Scorpio SLE,Mahindra,2012,20905,62000,Diesel
190,Toyota Innova 2.5,Toyota,2006,13505,73000,Diesel
191,Maruti Suzuki Alto,Maruti,2011,5365,41000,Petrol
192,Maruti Suzuki Wagon,Maruti,2011,7770,35000,Petrol
193,Tata Nano Cx,Tata,2013,1480,2200,Petrol
194,Maruti Suzuki Alto,Maruti,2013,4625,39000,Petrol
195,Maruti Suzuki Wagon,Maruti,2009,4995,45000,Petrol
196,Maruti Suzuki Swift,Maruti,2006,4995,45000,Petrol
197,Tata Sumo Victa,Tata,2012,10545,65000,Diesel
198,Maruti Suzuki Wagon,Maruti,2010,5365,54870,Petrol
199,Maruti Suzuki Alto,Maruti,2010,4995,34580,Petrol
200,Volkswagen Passat Diesel,Volkswagen,2009,16650,97000,Diesel
201,Renault Scala RxL,Renault,2015,13875,25000,Diesel
202,Mahindra Quanto C8,Mahindra,2013,13875,20000,Diesel
203,Hyundai Grand i10,Hyundai,2014,13505,20000,Petrol
204,Hyundai i20 Active,Hyundai,2015,18500,18000,Petrol
205,Mahindra Xylo E4,Mahindra,2012,14800,35000,Diesel
206,Mahindra Jeep MM,Mahindra,2019,14430,60,Diesel
207,Renault Duster 110PS,Renault,2012,18537,35000,Diesel
208,Mahindra Bolero SLE,Mahindra,2013,12210,80200,Diesel
209,Force Motors Force,Force,2015,21460,3200,Diesel
210,Maruti Suzuki SX4,Maruti,2012,9805,46000,Diesel
211,Mahindra Jeep CL550,Mahindra,2019,14023,0,Diesel
212,Maruti Suzuki Alto,Maruti,2015,8103,5000,Petrol
213,Mahindra Jeep CL550,Mahindra,2018,14245,588,Diesel
214,Toyota Etios,Toyota,2011,10175,36000,Diesel
215,Volkswagen Polo,Volkswagen,2015,12210,38000,Diesel
216,Honda City ZX,Honda,2008,4070,45000,Petrol
217,Maruti Suzuki Wagon,Maruti,2006,2960,71200,Petrol
218,Honda City VX,Honda,2016,19203,52000,Diesel
219,Mahindra Thar CRDe,Mahindra,2016,27010,29000,Diesel
220,Mitsubishi Pajero Sport,Mitsubishi,2015,54575,47000,Diesel
221,Audi A4 1.8,Audi,2009,25863,47000,Petrol
222,Mercedes Benz GLA,Mercedes,2015,74000,20000,Diesel
223,Land Rover Freelander,Land,2015,77700,30000,Diesel
224,Renault Kwid RXT,Renault,2017,12580,5000,Petrol
225,Tata Aria Pleasure,Tata,2014,14430,35000,Diesel
226,Mercedes Benz B,Mercedes,2014,51800,31000,Petrol
227,Datsun GO T,Datsun,2016,9065,7000,Petrol
228,Tata Indigo eCS,Tata,2016,11840,175430,Diesel
229,Tata Indigo eCS,Tata,2016,11840,175400,Diesel
230,Honda Jazz VX,Honda,2016,16650,41000,Petrol
231,Honda Amaze 1.2,Honda,2014,11507,33000,Petrol
232,Honda Amaze,Honda,2013,10544,46000,Diesel
233,Honda City,Honda,2012,14799,45000,Petrol
234,Honda City,Honda,2015,22199,39000,Diesel
235,Honda Amaze,Honda,2015,12764,22000,Petrol
236,Audi A4 1.8,Audi,2009,25863,47000,Petrol
237,Force Motors Force,Force,2015,21460,3200,Diesel
238,Mahindra Scorpio S4,Mahindra,2015,31635,30000,Diesel
239,Hyundai i20 Active,Hyundai,2015,19795,37000,Diesel
240,Mini Cooper S,Mini,2013,69971,13000,Petrol
241,Maruti Suzuki Ciaz,Maruti,2017,25863,14000,Petrol
242,Chevrolet Tavera Neo,Chevrolet,2013,13875,55000,Diesel
243,Honda Amaze,Honda,2013,10544,46000,Diesel
244,Hyundai Eon Sportz,Hyundai,2012,6586,30000,Petrol
245,Tata Sumo Gold,Tata,2013,11100,50000,Diesel
246,Maruti Suzuki Wagon,Maruti,2003,3330,45000,Petrol
247,Maruti Suzuki Esteem,Maruti,2006,3515,45000,Petrol
248,Maruti Suzuki Eeco,Maruti,2015,9435,9300,Petrol
249,Chevrolet Enjoy 1.4,Chevrolet,2013,9065,55000,Diesel
250,Hyundai i20 Asta,Hyundai,2012,12191,36200,Diesel
251,Ford Figo Diesel,Ford,2014,7215,50000,Diesel
252,Maruti Suzuki Eeco,Maruti,2015,9291,55000,Petrol
253,Maruti Suzuki Ertiga,Maruti,2014,21089,45000,Petrol
254,Maruti Suzuki Esteem,Maruti,2007,2589,51000,Petrol
255,Maruti Suzuki Ritz,Maruti,2014,11099,19000,Petrol
256,Maruti Suzuki Dzire,Maruti,2009,8140,46000,Petrol
257,Maruti Suzuki Ritz,Maruti,2013,14799,33000,Diesel
258,Maruti Suzuki SX4,Maruti,2010,9249,36000,Petrol
259,Maruti Suzuki Wagon,Maruti,2015,10729,22000,Petrol
260,Mini Cooper S,Mini,2013,69971,13500,Petrol
261,Nissan Terrano XL,Nissan,2015,18499,60000,Diesel
262,Renault Duster 85,Renault,2013,18129,27000,Diesel
263,Renault Duster 85,Renault,2014,18129,59000,Diesel
264,Renault Duster 85,Renault,2015,20349,19000,Diesel
265,Maruti Suzuki Dzire,Maruti,2013,14060,30000,Petrol
266,Renault Kwid RXT,Renault,2018,12025,15000,Petrol
267,Maruti Suzuki Maruti,Maruti,2003,2109,56758,Petrol
268,Renault Kwid 1.0,Renault,2018,12949,10000,Petrol
269,Renault Lodgy 85,Renault,2018,25529,20000,Diesel
270,Renault Scala RxL,Renault,2014,12949,49000,Diesel
271,Hyundai Grand i10,Hyundai,2014,15170,41000,Petrol
272,Maruti Suzuki Swift,Maruti,2011,8325,45000,Petrol
273,Chevrolet Beat LS,Chevrolet,2010,4440,43000,Petrol
274,Tata Indigo eCS,Tata,2016,11840,175430,Diesel
275,Hyundai Santro Xing,Hyundai,2000,2183,56450,Petrol
276,Hyundai Fluidic Verna,Hyundai,2015,19980,38000,Diesel
277,Chevrolet Beat LS,Chevrolet,2010,2960,56000,Petrol
278,Mahindra Quanto C8,Mahindra,2013,12580,37000,Diesel
279,Fiat Petra ELX,Fiat,2008,2775,65000,Petrol
280,Chevrolet Beat LS,Chevrolet,2015,8140,32700,Petrol
281,Skoda Fabia 1.2L,Skoda,2011,5901,38200,Diesel
282,Ford EcoSport Titanium,Ford,2016,22163,30000,Diesel
283,Hyundai Accent GLX,Hyundai,2006,2960,56000,Petrol
284,Mahindra TUV300 T4,Mahindra,2016,24975,9000,Diesel
285,Mini Cooper S,Mini,2013,69971,13000,Petrol
286,Mini Cooper S,Mini,2013,69971,13000,Petrol
287,Tata Indica V2,Tata,2008,5550,11000,Petrol
288,Mini Cooper S,Mini,2013,69971,13000,Petrol
289,Tata Indigo CS,Tata,2009,2682,46000,Diesel
290,Maruti Suzuki Swift,Maruti,2019,22570,73,Petrol
291,Mahindra Scorpio VLX,Mahindra,2004,8510,160000,Diesel
292,Honda Accord,Honda,2009,6475,58559,Petrol
293,Mahindra Scorpio S4,Mahindra,2015,31635,30000,Diesel
294,Chevrolet Tavera Neo,Chevrolet,2013,13875,55000,Diesel
295,Ford EcoSport Titanium,Ford,2014,19240,57000,Diesel
296,Maruti Suzuki Ertiga,Maruti,2015,19424,50000,Diesel
297,Honda Amaze,Honda,2014,11099,37000,Petrol
298,Maruti Suzuki Dzire,Maruti,2012,11099,40000,Petrol
299,Honda City,Honda,2011,10544,55000,Petrol
300,Mahindra Scorpio 2.6,Mahindra,2007,8140,170000,Diesel
301,Maruti Suzuki Dzire,Maruti,2014,15724,55000,Diesel
302,Honda City,Honda,2015,23864,39000,Petrol
303,Honda Mobilio,Honda,2014,14799,44000,Petrol
304,Toyota Corolla Altis,Toyota,2009,7399,65000,Petrol
305,Honda City,Honda,2014,21644,39000,Petrol
306,Skoda Laura,Skoda,2012,12949,44000,Diesel
307,Renault Duster,Renault,2015,16649,49000,Diesel
308,Maruti Suzuki Ertiga,Maruti,2018,29599,9000,Diesel
309,Maruti Suzuki Dzire,Maruti,2015,16464,45000,Diesel
310,Mahindra XUV500,Mahindra,2014,24049,47000,Diesel
311,Hyundai Verna Fluidic,Hyundai,2012,16464,40000,Diesel
312,Maruti Suzuki Vitara,Maruti,2016,25529,29000,Diesel
313,Maruti Suzuki Wagon,Maruti,2016,12764,15000,Petrol
314,Mahindra Scorpio,Mahindra,2015,34964,45000,Diesel
315,Honda Amaze,Honda,2014,10174,35000,Petrol
316,Mahindra XUV500,Mahindra,2013,25529,80000,Diesel
317,Mahindra Scorpio,Mahindra,2013,21274,68000,Diesel
318,Skoda Laura,Skoda,2013,13874,50000,Diesel
319,Volkswagen Polo,Volkswagen,2010,7399,60000,Diesel
320,Hyundai Elite i20,Hyundai,2016,20349,9000,Petrol
321,Tata Manza Aura,Tata,2012,4810,72000,Diesel
322,Chevrolet Sail UVA,Chevrolet,2013,7770,60000,Petrol
323,Renault Duster 110,Renault,2012,18537,38000,Diesel
324,Hyundai Verna Fluidic,Hyundai,2013,14837,45000,Diesel
325,Audi A4 2.0,Audi,2012,49950,40000,Diesel
326,Hyundai Elantra SX,Hyundai,2013,22200,20000,Petrol
327,Mahindra Scorpio VLX,Mahindra,2013,22570,35000,Diesel
328,Mahindra KUV100 K8,Mahindra,2016,14800,20000,Diesel
329,Renault Scala RxL,Renault,2015,13875,25000,Diesel
330,Mahindra Quanto C8,Mahindra,2013,13875,20000,Diesel
331,Hyundai Grand i10,Hyundai,2014,13505,20000,Petrol
332,Hyundai i20 Active,Hyundai,2015,18500,18000,Petrol
333,Mahindra Xylo E4,Mahindra,2012,14800,35000,Diesel
334,Hyundai Grand i10,Hyundai,2017,19424,6821,Petrol
335,Hyundai i20,Hyundai,2014,16649,23000,Petrol
336,Hyundai Eon,Hyundai,2014,6474,14000,Petrol
337,Hyundai i10,Hyundai,2012,9064,38000,Petrol
338,Hyundai i20 Active,Hyundai,2015,21274,35000,Diesel
339,Datsun Redi GO,Datsun,2017,9064,22000,Petrol
340,Toyota Etios Liva,Toyota,2011,8879,41000,Petrol
341,Hyundai Accent,Hyundai,2010,3699,45000,Petrol
342,Hyundai Verna,Hyundai,2014,18129,44000,Diesel
343,Maruti Suzuki Swift,Maruti,2013,12024,45000,Diesel
344,Toyota Fortuner,Toyota,2011,39774,52000,Diesel
345,Hyundai i10 Sportz,Hyundai,2012,8510,34000,Petrol
346,Mahindra Bolero Power,Mahindra,2018,25863,1800,Diesel
347,Mahindra XUV500,Mahindra,2015,37000,15000,Diesel
348,Honda City 1.5,Honda,2010,8880,400000,Petrol
349,Chevrolet Spark LT,Chevrolet,2009,4070,44000,Petrol
350,Mahindra Jeep MM,Mahindra,2019,14430,60,Diesel
351,Renault Duster 110PS,Renault,2012,18537,35000,Diesel
352,Mahindra XUV500,Mahindra,2016,41810,72000,Diesel
353,Tata Indigo eCS,Tata,2014,9250,40000,Diesel
354,Mahindra Bolero SLE,Mahindra,2013,12210,80200,Diesel
355,Force Motors Force,Force,2015,21460,3200,Diesel
356,Skoda Rapid Elegance,Skoda,2013,12580,48000,Diesel
357,Tata Vista Quadrajet,Tata,2011,4440,90000,Diesel
358,Maruti Suzuki Alto,Maruti,2015,9805,12000,Petrol
359,Maruti Suzuki SX4,Maruti,2012,9805,46000,Diesel
360,Maruti Suzuki Zen,Maruti,2003,3145,69900,Petrol
361,Mahindra Jeep CL550,Mahindra,2019,14023,0,Diesel
362,Hyundai i10 Magna,Hyundai,2011,6475,45000,Petrol
363,Maruti Suzuki Alto,Maruti,2015,8103,5000,Petrol
364,Maruti Suzuki Swift,Maruti,2016,12950,166000,Diesel
365,Honda City ZX,Honda,2008,5513,42000,Petrol
366,Mahindra Jeep CL550,Mahindra,2018,14245,588,Diesel
367,Mahindra Jeep MM,Mahindra,2006,15725,122,Diesel
368,Chevrolet Beat Diesel,Chevrolet,2017,5550,62000,Diesel
369,Honda City 1.5,Honda,2010,8325,70000,Petrol
370,Hyundai Verna 1.4,Hyundai,2014,13875,36000,Petrol
371,Toyota Innova 2.5,Toyota,2012,28490,0,Diesel
372,Maruti Suzuki Maruti,Maruti,1995,1110,55000,Petrol
373,Toyota Etios,Toyota,2011,10175,36000,Diesel
374,Volkswagen Polo,Volkswagen,2015,12210,38000,Diesel
375,Maruti Suzuki Swift,Maruti,2014,12395,55000,Diesel
376,Hyundai Elite i20,Hyundai,2015,16650,20000,Diesel
377,Maruti Suzuki Swift,Maruti,2012,8325,40000,Petrol
378,Maruti Suzuki Versa,Maruti,2004,2960,50000,Petrol
379,Tata Indigo LX,Tata,2016,4810,104000,Diesel
380,Volkswagen Vento Konekt,Volkswagen,2011,9065,65000,Diesel
381,Mercedes Benz C,Mercedes,2002,14763,41000,Petrol
382,Maruti Suzuki Ertiga,Maruti,2013,16650,90000,Diesel
383,Honda City,Honda,2000,2405,80000,Petrol
384,Hyundai Santro Xing,Hyundai,2006,2775,46000,Petrol
385,Maruti Suzuki Omni,Maruti,2001,2590,70000,Petrol
386,Hyundai Sonata Transform,Hyundai,2017,7030,36469,Diesel
387,Hyundai Elite i20,Hyundai,2018,22200,7800,Petrol
388,Volkswagen Vento Konekt,Volkswagen,2011,9065,65000,Diesel
389,Maruti Suzuki Alto,Maruti,2017,8880,60000,Petrol
390,Maruti Suzuki Alto,Maruti,2011,5735,32000,Petrol
391,Honda Jazz S,Honda,2009,6289,24695,Petrol
392,Hyundai Grand i10,Hyundai,2017,16650,15141,Petrol
393,Maruti Suzuki Zen,Maruti,2001,1480,40000,Petrol
394,Mahindra Scorpio W,Mahindra,2012,6105,65000,Diesel
395,Maruti Suzuki Alto,Maruti,2014,9990,22000,Petrol
396,Hyundai Grand i10,Hyundai,2016,10360,59910,Diesel
397,Mahindra XUV500 W8,Mahindra,2012,20720,100000,Diesel
398,Hyundai Creta 1.6,Hyundai,2016,35150,25000,Petrol
399,Hyundai i20 Magna,Hyundai,2013,11470,35000,Petrol
400,Renault Duster 85,Renault,2015,26455,65000,Diesel
401,Hyundai Grand i10,Hyundai,2014,12580,35000,Petrol
402,Honda Brio V,Honda,2012,8695,33000,Petrol
403,Mahindra TUV300 T4,Mahindra,2017,22570,68000,Diesel
404,Chevrolet Spark LS,Chevrolet,2010,3515,23000,Petrol
405,Mahindra TUV300 T8,Mahindra,2018,37000,4500,Diesel
406,Maruti Suzuki Swift,Maruti,2015,8140,129000,Diesel
407,Nissan X Trail,Nissan,2019,44400,300,Diesel
408,Maruti Suzuki Alto,Maruti,2015,8510,5000,Petrol
409,Ford Ikon 1.3,Ford,2001,1665,65000,Petrol
410,Toyota Fortuner 3.0,Toyota,2010,34780,131000,Diesel
411,Tata Manza ELAN,Tata,2010,5755,111111,Petrol
412,Mercedes Benz A,Mercedes,2013,55500,14000,Petrol
413,Chevrolet Beat LS,Chevrolet,2016,7770,22000,Diesel
414,Ford EcoSport Trend,Ford,2013,18315,38000,Diesel
415,Tata Indigo LS,Tata,2016,4625,70000,Diesel
416,Hyundai i20 Magna,Hyundai,2010,7215,36000,Petrol
417,Volkswagen Vento Highline,Volkswagen,2015,20350,34000,Diesel
418,Renault Kwid RXT,Renault,2015,9990,43000,Petrol
419,Ford EcoSport Titanium,Ford,2014,18500,40000,Diesel
420,Honda Amaze 1.5,Honda,2016,8880,160000,Diesel
421,Hyundai Verna 1.6,Hyundai,2017,29600,12000,Petrol
422,BMW 5 Series,BMW,2011,48063,49000,Diesel
423,Skoda Superb 1.8,Skoda,2011,19610,68000,Petrol
424,Audi Q3 2.0,Audi,2013,55463,37000,Diesel
425,Mahindra Bolero DI,Mahindra,2012,8140,59466,Diesel
426,Mahindra Scorpio S10,Mahindra,2015,33300,97200,Diesel
